Study Name	Tungsten_Calibration
Sample Name	2024-04-25
Run Name	spot00
Operator	Angus
Date	4/25/2024
Time	11:07
Sign	FIX
Grating Spacing	03.40um
Channel	3
Number Traces	10000
Files in Batch	1
Batch Number	2
dt	50.000001E-12
time stamp (ms)	11:08:54 AM
	
Time	Amplitude
0.000000E+0	3.940556E-5
5.000000E-11	-1.198988E-4
1.000000E-10	-2.226758E-4
1.500000E-10	-2.637866E-4
2.000000E-10	-2.586478E-4
2.500000E-10	-1.575837E-4
3.000000E-10	5.653506E-5
3.500000E-10	3.134776E-4
4.000000E-10	5.173186E-4
4.500000E-10	6.886136E-4
5.000000E-10	8.958806E-4
5.500000E-10	1.118564E-3
6.000000E-10	1.253887E-3
6.500000E-10	1.283007E-3
7.000000E-10	1.288146E-3
7.500000E-10	1.281294E-3
8.000000E-10	1.192221E-3
8.500000E-10	1.032917E-3
9.000000E-10	9.112971E-4
9.500000E-10	8.119460E-4
1.000000E-9	6.851877E-4
1.050000E-9	5.430129E-4
1.100000E-9	4.453747E-4
1.150000E-9	3.939862E-4
1.200000E-9	3.734308E-4
1.250000E-9	4.025510E-4
1.300000E-9	4.505136E-4
1.350000E-9	4.984762E-4
1.400000E-9	5.584294E-4
1.450000E-9	6.098179E-4
1.500000E-9	6.406510E-4
1.550000E-9	6.663453E-4
1.600000E-9	6.954654E-4
1.650000E-9	6.988913E-4
1.700000E-9	6.937525E-4
1.750000E-9	7.108820E-4
1.800000E-9	7.382892E-4
1.850000E-9	7.639834E-4
1.900000E-9	8.068072E-4
1.950000E-9	8.342144E-4
2.000000E-9	8.273626E-4
2.050000E-9	8.307885E-4
2.100000E-9	8.924547E-4
2.150000E-9	9.541209E-4
2.200000E-9	9.952317E-4
2.250000E-9	1.072314E-3
2.300000E-9	1.183656E-3
2.350000E-9	1.235045E-3
2.400000E-9	1.231619E-3
2.450000E-9	1.212776E-3
2.500000E-9	1.161388E-3
2.550000E-9	1.044907E-3
2.600000E-9	9.267137E-4
2.650000E-9	8.462050E-4
2.700000E-9	7.605575E-4
2.750000E-9	6.389381E-4
2.800000E-9	5.121798E-4
2.850000E-9	3.768567E-4
2.900000E-9	2.055617E-4
2.950000E-9	2.741491E-5
3.000000E-9	-8.906570E-5
3.050000E-9	-1.027693E-4
3.100000E-9	-2.911244E-5
3.150000E-9	8.051636E-5
3.200000E-9	2.124135E-4
3.250000E-9	3.751438E-4
3.300000E-9	5.104668E-4
3.350000E-9	5.601424E-4
3.400000E-9	5.926884E-4
3.450000E-9	6.680582E-4
3.500000E-9	7.125949E-4
3.550000E-9	6.851877E-4
3.600000E-9	6.457899E-4
3.650000E-9	6.252345E-4
3.700000E-9	5.841237E-4
3.750000E-9	5.515776E-4
3.800000E-9	5.584294E-4
3.850000E-9	5.481517E-4
3.900000E-9	5.190316E-4
3.950000E-9	5.001891E-4
4.000000E-9	5.310222E-4
4.050000E-9	5.926884E-4
4.100000E-9	6.457899E-4
4.150000E-9	6.800489E-4
4.200000E-9	7.006043E-4
4.250000E-9	7.125949E-4
4.300000E-9	7.074561E-4
4.350000E-9	6.577805E-4
4.400000E-9	5.858366E-4
4.450000E-9	5.207445E-4
4.500000E-9	4.676431E-4
4.550000E-9	3.991251E-4
4.600000E-9	3.031999E-4
4.650000E-9	2.261171E-4
4.700000E-9	2.004229E-4
4.750000E-9	2.124135E-4
4.800000E-9	2.466725E-4
4.850000E-9	3.049128E-4
4.900000E-9	3.494495E-4
4.950000E-9	3.665790E-4
5.000000E-9	3.580143E-4
5.050000E-9	3.374589E-4
5.100000E-9	2.946351E-4
5.150000E-9	1.918581E-4
5.200000E-9	5.824801E-5
5.250000E-9	-3.939014E-5
5.300000E-9	-8.050095E-5
5.350000E-9	-1.267506E-4
5.400000E-9	-1.935556E-4
5.450000E-9	-2.432312E-4
5.500000E-9	-2.517960E-4
5.550000E-9	-2.483701E-4
5.600000E-9	-2.432312E-4
5.650000E-9	-2.278147E-4
5.700000E-9	-1.884168E-4
5.750000E-9	-1.216117E-4
5.800000E-9	-5.138079E-5
5.850000E-9	-6.844094E-6
5.900000E-9	4.625736E-5
5.950000E-9	1.456085E-4
6.000000E-9	2.894963E-4
6.050000E-9	4.573654E-4
6.100000E-9	6.320863E-4
6.150000E-9	7.879647E-4
6.200000E-9	9.301396E-4
6.250000E-9	1.063750E-3
6.300000E-9	1.175091E-3
6.350000E-9	1.229906E-3
6.400000E-9	1.250461E-3
6.450000E-9	1.269304E-3
6.500000E-9	1.257313E-3
6.550000E-9	1.204212E-3
6.600000E-9	1.109999E-3
6.650000E-9	9.832410E-4
6.700000E-9	8.307885E-4
6.750000E-9	6.440769E-4
6.800000E-9	4.539395E-4
6.850000E-9	2.638020E-4
6.900000E-9	7.880341E-5
6.950000E-9	-6.508440E-5
7.000000E-9	-1.387412E-4
7.050000E-9	-1.473060E-4
7.100000E-9	-8.906570E-5
7.150000E-9	7.195161E-5
7.200000E-9	3.100517E-4
7.250000E-9	5.824107E-4
7.300000E-9	9.027324E-4
7.350000E-9	1.281294E-3
7.400000E-9	1.673560E-3
7.450000E-9	2.012724E-3
7.500000E-9	2.278231E-3
7.550000E-9	2.466656E-3
7.600000E-9	2.581423E-3
7.650000E-9	2.607118E-3
7.700000E-9	2.511192E-3
7.750000E-9	2.324481E-3
7.800000E-9	2.108649E-3
7.850000E-9	1.896243E-3
7.900000E-9	1.673560E-3
7.950000E-9	1.430321E-3
8.000000E-9	1.205925E-3
8.050000E-9	1.106573E-3
8.100000E-9	1.104860E-3
8.150000E-9	1.070601E-3
8.200000E-9	1.024352E-3
8.250000E-9	1.067176E-3
8.300000E-9	1.121990E-3
8.350000E-9	1.029491E-3
8.400000E-9	8.393532E-4
8.450000E-9	6.423640E-4
8.500000E-9	4.162546E-4
8.550000E-9	2.449596E-4
8.600000E-9	2.261171E-4
8.650000E-9	2.295430E-4
8.700000E-9	1.867193E-4
8.750000E-9	2.757927E-4
8.800000E-9	4.933373E-4
8.850000E-9	6.149568E-4
8.900000E-9	6.766230E-4
8.950000E-9	8.290755E-4
9.000000E-9	9.900928E-4
9.050000E-9	1.062037E-3
9.100000E-9	1.152823E-3
9.150000E-9	1.183656E-3
9.200000E-9	9.746763E-4
9.250000E-9	7.057431E-4
9.300000E-9	6.029661E-4
9.350000E-9	5.515776E-4
9.400000E-9	4.539395E-4
9.450000E-9	3.905603E-4
9.500000E-9	3.391718E-4
9.550000E-9	2.329689E-4
9.600000E-9	2.552373E-4
9.650000E-9	4.676431E-4
9.700000E-9	6.149568E-4
9.750000E-9	6.646323E-4
9.800000E-9	8.136590E-4
9.850000E-9	9.661115E-4
9.900000E-9	9.352784E-4
9.950000E-9	8.170849E-4
1.000000E-8	7.776870E-4
1.005000E-8	7.519928E-4
1.010000E-8	7.040302E-4
1.015000E-8	5.669942E-4
1.020000E-8	2.655150E-4
1.025000E-8	-2.568654E-5
1.030000E-8	-8.563980E-5
1.035000E-8	-2.739949E-5
1.040000E-8	-2.911244E-5
1.045000E-8	2.056311E-5
1.050000E-8	1.473214E-4
1.055000E-8	2.107006E-4
1.060000E-8	2.500984E-4
1.065000E-8	3.665790E-4
1.070000E-8	4.744949E-4
1.075000E-8	5.121798E-4
1.080000E-8	6.132438E-4
1.085000E-8	7.434280E-4
1.090000E-8	7.023172E-4
1.095000E-8	5.447258E-4
1.100000E-8	4.779208E-4
1.105000E-8	4.916244E-4
1.110000E-8	4.470877E-4
1.115000E-8	4.076898E-4
1.120000E-8	4.710690E-4
1.125000E-8	5.378740E-4
1.130000E-8	4.607913E-4
1.135000E-8	3.631531E-4
1.140000E-8	4.196805E-4
1.145000E-8	5.121798E-4
1.150000E-8	4.710690E-4
1.155000E-8	3.888474E-4
1.160000E-8	4.196805E-4
1.165000E-8	4.779208E-4
1.170000E-8	4.248193E-4
1.175000E-8	3.271812E-4
1.180000E-8	2.809315E-4
1.185000E-8	2.569502E-4
1.190000E-8	2.141265E-4
1.195000E-8	2.466725E-4
1.200000E-8	3.956992E-4
1.205000E-8	5.944014E-4
1.210000E-8	8.907417E-4
1.215000E-8	1.418330E-3
1.220000E-8	2.187445E-3
1.225000E-8	3.168965E-3
1.230000E-8	4.493076E-3
1.235000E-8	6.291673E-3
1.240000E-8	8.547628E-3
1.245000E-8	1.126779E-2
1.250000E-8	1.452754E-2
1.255000E-8	1.836112E-2
1.260000E-8	2.271030E-2
1.265000E-8	2.744661E-2
1.270000E-8	3.246041E-2
1.275000E-8	3.772431E-2
1.280000E-8	4.315607E-2
1.285000E-8	4.855529E-2
1.290000E-8	5.374724E-2
1.295000E-8	5.864114E-2
1.300000E-8	6.308967E-2
1.305000E-8	6.693011E-2
1.310000E-8	7.010591E-2
1.315000E-8	7.254002E-2
1.320000E-8	7.423070E-2
1.325000E-8	7.517967E-2
1.330000E-8	7.541777E-2
1.335000E-8	7.494157E-2
1.340000E-8	7.370654E-2
1.345000E-8	7.169896E-2
1.350000E-8	6.909356E-2
1.355000E-8	6.611988E-2
1.360000E-8	6.283958E-2
1.365000E-8	5.918928E-2
1.370000E-8	5.535399E-2
1.375000E-8	5.170369E-2
1.380000E-8	4.832747E-2
1.385000E-8	4.521675E-2
1.390000E-8	4.254112E-2
1.395000E-8	4.050956E-2
1.400000E-8	3.904499E-2
1.405000E-8	3.803949E-2
1.410000E-8	3.766093E-2
