Study Name	Tungsten_Calibration
Sample Name	2024-04-25
Run Name	spot00
Operator	Angus
Date	4/25/2024
Time	11:07
Sign	FIX
Grating Spacing	03.40um
Channel	3
Number Traces	10000
Files in Batch	1
Batch Number	1
dt	50.000001E-12
time stamp (ms)	11:07:54 AM
	
Time	Amplitude
0.000000E+0	6.286604E-4
5.000000E-11	7.331503E-4
1.000000E-10	8.427791E-4
1.500000E-10	8.941676E-4
2.000000E-10	8.325014E-4
2.500000E-10	7.006043E-4
3.000000E-10	5.789848E-4
3.500000E-10	4.505136E-4
4.000000E-10	2.929222E-4
4.500000E-10	1.456085E-4
5.000000E-10	5.824801E-5
5.500000E-10	2.227606E-5
6.000000E-10	1.371131E-5
6.500000E-10	1.371131E-5
7.000000E-10	5.139621E-5
7.500000E-10	1.541732E-4
8.000000E-10	2.740797E-4
8.500000E-10	3.477366E-4
9.000000E-10	4.111157E-4
9.500000E-10	5.001891E-4
1.000000E-9	5.738460E-4
1.050000E-9	5.824107E-4
1.100000E-9	5.618553E-4
1.150000E-9	5.293093E-4
1.200000E-9	4.710690E-4
1.250000E-9	4.059769E-4
1.300000E-9	3.511625E-4
1.350000E-9	3.374589E-4
1.400000E-9	3.717179E-4
1.450000E-9	4.368100E-4
1.500000E-9	5.070409E-4
1.550000E-9	5.875496E-4
1.600000E-9	6.731971E-4
1.650000E-9	7.828259E-4
1.700000E-9	9.215748E-4
1.750000E-9	1.072314E-3
1.800000E-9	1.202499E-3
1.850000E-9	1.325831E-3
1.900000E-9	1.416617E-3
1.950000E-9	1.430321E-3
2.000000E-9	1.409766E-3
2.050000E-9	1.413191E-3
2.100000E-9	1.408053E-3
2.150000E-9	1.387497E-3
2.200000E-9	1.363516E-3
2.250000E-9	1.356664E-3
2.300000E-9	1.341248E-3
2.350000E-9	1.313840E-3
2.400000E-9	1.255600E-3
2.450000E-9	1.144258E-3
2.500000E-9	9.883799E-4
2.550000E-9	7.948165E-4
2.600000E-9	5.892625E-4
2.650000E-9	4.145416E-4
2.700000E-9	2.586632E-4
2.750000E-9	1.147754E-4
2.800000E-9	1.542426E-5
2.850000E-9	-1.705243E-6
2.900000E-9	5.139621E-5
2.950000E-9	1.593121E-4
3.000000E-9	2.929222E-4
3.050000E-9	4.402359E-4
3.100000E-9	5.755589E-4
3.150000E-9	6.903266E-4
3.200000E-9	7.862518E-4
3.250000E-9	8.462050E-4
3.300000E-9	8.462050E-4
3.350000E-9	8.187978E-4
3.400000E-9	7.965295E-4
3.450000E-9	7.365762E-4
3.500000E-9	6.269474E-4
3.550000E-9	5.310222E-4
3.600000E-9	4.625042E-4
3.650000E-9	3.819956E-4
3.700000E-9	3.100517E-4
3.750000E-9	2.929222E-4
3.800000E-9	2.946351E-4
3.850000E-9	2.912092E-4
3.900000E-9	2.963481E-4
3.950000E-9	2.912092E-4
4.000000E-9	2.672279E-4
4.050000E-9	2.740797E-4
4.100000E-9	2.980610E-4
4.150000E-9	3.066258E-4
4.200000E-9	3.288941E-4
4.250000E-9	3.648661E-4
4.300000E-9	3.717179E-4
4.350000E-9	3.665790E-4
4.400000E-9	3.563013E-4
4.450000E-9	2.912092E-4
4.500000E-9	1.867193E-4
4.550000E-9	7.709046E-5
4.600000E-9	-5.309375E-5
4.650000E-9	-2.089722E-4
4.700000E-9	-3.357305E-4
4.750000E-9	-4.076744E-4
4.800000E-9	-4.419334E-4
4.850000E-9	-4.402205E-4
4.900000E-9	-3.922579E-4
4.950000E-9	-3.066104E-4
5.000000E-9	-1.798520E-4
5.050000E-9	-5.309375E-5
5.100000E-9	4.625736E-5
5.150000E-9	1.404696E-4
5.200000E-9	2.312560E-4
5.250000E-9	2.809315E-4
5.300000E-9	2.672279E-4
5.350000E-9	2.466725E-4
5.400000E-9	2.261171E-4
5.450000E-9	1.695898E-4
5.500000E-9	1.062106E-4
5.550000E-9	9.764586E-5
5.600000E-9	1.336178E-4
5.650000E-9	1.798675E-4
5.700000E-9	2.329689E-4
5.750000E-9	3.083387E-4
5.800000E-9	4.128287E-4
5.850000E-9	5.019021E-4
5.900000E-9	5.310222E-4
5.950000E-9	5.104668E-4
6.000000E-9	4.899114E-4
6.050000E-9	4.830596E-4
6.100000E-9	4.676431E-4
6.150000E-9	4.864855E-4
6.200000E-9	5.824107E-4
6.250000E-9	7.382892E-4
6.300000E-9	8.838899E-4
6.350000E-9	1.003796E-3
6.400000E-9	1.137407E-3
6.450000E-9	1.248748E-3
6.500000E-9	1.320692E-3
6.550000E-9	1.358377E-3
6.600000E-9	1.336109E-3
6.650000E-9	1.264165E-3
6.700000E-9	1.156249E-3
6.750000E-9	1.015787E-3
6.800000E-9	8.616216E-4
6.850000E-9	7.331503E-4
6.900000E-9	6.252345E-4
6.950000E-9	5.190316E-4
7.000000E-9	4.350970E-4
7.050000E-9	4.076898E-4
7.100000E-9	4.231064E-4
7.150000E-9	5.138927E-4
7.200000E-9	6.851877E-4
7.250000E-9	9.198619E-4
7.300000E-9	1.228193E-3
7.350000E-9	1.618746E-3
7.400000E-9	2.011011E-3
7.450000E-9	2.360453E-3
7.500000E-9	2.673923E-3
7.550000E-9	2.917162E-3
7.600000E-9	3.009661E-3
7.650000E-9	2.990818E-3
7.700000E-9	2.908597E-3
7.750000E-9	2.704756E-3
7.800000E-9	2.374156E-3
7.850000E-9	2.021289E-3
7.900000E-9	1.688976E-3
7.950000E-9	1.315553E-3
8.000000E-9	9.404173E-4
8.050000E-9	7.023172E-4
8.100000E-9	6.183827E-4
8.150000E-9	5.430129E-4
8.200000E-9	4.659301E-4
8.250000E-9	5.104668E-4
8.300000E-9	6.166697E-4
8.350000E-9	6.200956E-4
8.400000E-9	5.652812E-4
8.450000E-9	5.704201E-4
8.500000E-9	5.721330E-4
8.550000E-9	5.412999E-4
8.600000E-9	5.652812E-4
8.650000E-9	5.412999E-4
8.700000E-9	3.905603E-4
8.750000E-9	3.031999E-4
8.800000E-9	3.374589E-4
8.850000E-9	3.049128E-4
8.900000E-9	2.415337E-4
8.950000E-9	3.220423E-4
9.000000E-9	4.368100E-4
9.050000E-9	4.950503E-4
9.100000E-9	6.200956E-4
9.150000E-9	7.194467E-4
9.200000E-9	5.721330E-4
9.250000E-9	3.443107E-4
9.300000E-9	3.031999E-4
9.350000E-9	3.306071E-4
9.400000E-9	3.323200E-4
9.450000E-9	3.614402E-4
9.500000E-9	3.169035E-4
9.550000E-9	1.284790E-4
9.600000E-9	3.597966E-5
9.650000E-9	1.233401E-4
9.700000E-9	1.301919E-4
9.750000E-9	4.968326E-5
9.800000E-9	1.336178E-4
9.850000E-9	3.357459E-4
9.900000E-9	3.871344E-4
9.950000E-9	3.494495E-4
1.000000E-8	4.076898E-4
1.005000E-8	5.395870E-4
1.010000E-8	6.749100E-4
1.015000E-8	7.417151E-4
1.020000E-8	6.646323E-4
1.025000E-8	5.601424E-4
1.030000E-8	6.303733E-4
1.035000E-8	7.862518E-4
1.040000E-8	7.948165E-4
1.045000E-8	7.040302E-4
1.050000E-8	6.235215E-4
1.055000E-8	4.984762E-4
1.060000E-8	3.477366E-4
1.065000E-8	3.049128E-4
1.070000E-8	2.740797E-4
1.075000E-8	1.935711E-4
1.080000E-8	2.107006E-4
1.085000E-8	3.049128E-4
1.090000E-8	2.672279E-4
1.095000E-8	1.404696E-4
1.100000E-8	1.387567E-4
1.105000E-8	2.346819E-4
1.110000E-8	2.346819E-4
1.115000E-8	2.107006E-4
1.120000E-8	3.511625E-4
1.125000E-8	5.430129E-4
1.130000E-8	5.721330E-4
1.135000E-8	5.601424E-4
1.140000E-8	7.228726E-4
1.145000E-8	9.438432E-4
1.150000E-8	9.729633E-4
1.155000E-8	9.112971E-4
1.160000E-8	9.746763E-4
1.165000E-8	1.089444E-3
1.170000E-8	1.048333E-3
1.175000E-8	9.301396E-4
1.180000E-8	8.633345E-4
1.185000E-8	7.742611E-4
1.190000E-8	6.046791E-4
1.195000E-8	5.070409E-4
1.200000E-8	5.704201E-4
1.205000E-8	7.400021E-4
1.210000E-8	1.019213E-3
1.215000E-8	1.490274E-3
1.220000E-8	2.170315E-3
1.225000E-8	3.100447E-3
1.230000E-8	4.388586E-3
1.235000E-8	6.103249E-3
1.240000E-8	8.259853E-3
1.245000E-8	1.090465E-2
1.250000E-8	1.407532E-2
1.255000E-8	1.778728E-2
1.260000E-8	2.203368E-2
1.265000E-8	2.672374E-2
1.270000E-8	3.175296E-2
1.275000E-8	3.705626E-2
1.280000E-8	4.254455E-2
1.285000E-8	4.798316E-2
1.290000E-8	5.318711E-2
1.295000E-8	5.809300E-2
1.300000E-8	6.258435E-2
1.305000E-8	6.648645E-2
1.310000E-8	6.970851E-2
1.315000E-8	7.222655E-2
1.320000E-8	7.398575E-2
1.325000E-8	7.497926E-2
1.330000E-8	7.528930E-2
1.335000E-8	7.489190E-2
1.340000E-8	7.375450E-2
1.345000E-8	7.190965E-2
1.350000E-8	6.941731E-2
1.355000E-8	6.638539E-2
1.360000E-8	6.292351E-2
1.365000E-8	5.923553E-2
1.370000E-8	5.556468E-2
1.375000E-8	5.196063E-2
1.380000E-8	4.839599E-2
1.385000E-8	4.513282E-2
1.390000E-8	4.242122E-2
1.395000E-8	4.026975E-2
1.400000E-8	3.859106E-2
1.405000E-8	3.751361E-2
1.410000E-8	3.715903E-2
1.415000E-8	3.741598E-2
